title,listing_type,city,zip_code,numerical_descriptors,amenities,dates,rating,num_reviews,discounted,original_value,price_per_night,cleaning_fee,service_fee
LOLA's Place: More Than Just a Room,private room,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 17 – 19,4.84,291,False,,79.0,40.0,28.0
"Elegant, bright, private cottage",entire guesthouse,Oakland,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 31 – Jan 2,4.91,80,False,,80.0,30.0,27.0
Bayview Cottage,entire guesthouse,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 10 – 12,4.98,134,False,,225.0,75.0,74.0
Panoramic views of the San Francisco Bay Area,entire rental unit,Oakland Hills,94661,6 guests - 1 bedroom - 3 beds - 1 bath,Wifi - Kitchen - Washer,Dec 24 – 26,,0,False,,250.0,20.0,73.0
Newly Constructed Crocker Highland Studio - Quiet,entire guest suite,Oakland,94661,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen - Free parking,Dec 3 – 5,4.91,11,False,,100.0,150.0,49.0
"★ Pvt Entr Quirky Getaway, 3min to Lake Merritt ★",entire guest suite,Oakland,94661,3 guests - Studio - 1 bed - 1 bath,Wifi,Dec 17 – 19,4.65,203,False,,74.0,65.0,30.0
Stunning 1BD Remodel with View,private room,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking - Washer,Dec 10 – 12,4.96,28,False,,105.0,25.0,33.0
Large studio w/washer dryer view of all SF bridges,private room,Oakland Hills,94661,2 guests - Studio - 1 bed - 1 private bath,Wifi - Free parking - Washer,Dec 3 – 5,4.88,8,False,,130.0,120.0,54.0
"View the entier SF. bay,  new building one 1 bd rm",entire residential home,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 17 – 19,4.97,115,False,,200.0,160.0,79.0
Yellow door studio Oakland Hills,entire guest suite,Upper Dimond,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 10 – 12,4.85,275,False,,110.0,60.0,40.0
ChicGarage GardenView: EastBay COVID COMPLIANT,entire guest suite,Oakland Hills,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 17 – 19,4.98,80,False,,147.0,65.0,51.0
Balcony View of the Bay - 2 bed 2 bath,entire residential home,Oakland Hills,94661,4 guests - 2 bedrooms - 2 beds - 2 baths,Wifi - Kitchen - Free parking,Dec 10 – 12,5.0,55,False,,275.0,100.0,92.0
Beautiful Oakland Hills Studio Apartment,entire guesthouse,Upper Dimond,94661,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen,Dec 3 – 5,4.89,19,False,,140.0,40.0,45.0
Private and clean suite in Oakland Hills,entire residential home,Oakland Hills,94661,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Kitchen - Washer,Dec 17 – 19,4.77,13,False,,138.0,95.0,52.0
Roomy Studio with Private Entrance on Leafy Street,entire guest suite,Upper Dimond,94661,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Washer,Dec 24 – 26,4.83,153,False,,80.0,45.0,29.0
